"","AGE","EDUCATION","SEX","DISABILITY","INSURANCE","CHILD","RACE","INCOME"
"1668",68,19,1,2,1,0,1,26400
"1672",49,21,2,2,1,0,1,40000
"1562",63,16,1,2,1,0,1,47700
"14",33,21,1,2,1,0,1,25820
"1449",39,24,2,2,1,0,1,72000
"2100",68,19,1,2,1,0,1,46020
"2775",52,20,2,1,1,0,1,46000
"2028",56,18,1,2,2,0,3,32480
"639",49,22,1,2,1,0,1,56130
"2665",72,19,2,2,1,0,1,29650
"869",16,13,1,2,1,1,1,1000
"710",31,21,2,2,1,0,1,52100
"741",24,19,2,2,1,0,1,30000
"875",36,22,2,2,1,0,1,57000
"1662",57,16,1,2,1,0,1,69000
"3651",77,21,1,2,1,0,1,59900
"1445",55,16,2,2,1,0,1,0
"4312",69,22,2,2,1,0,1,68420
"254",44,22,2,2,1,0,1,60000
"1654",51,19,1,2,1,0,1,65000
"2962",31,17,2,2,1,0,1,32500
"4447",62,19,2,1,1,0,1,0
"594",48,20,1,2,2,0,3,15000
"2739",27,19,1,2,1,0,1,7000
"1999",23,20,1,2,1,0,1,20000
"362",68,16,1,2,1,0,1,22600
"774",56,19,1,1,1,0,1,93000
"2178",33,23,1,2,1,0,1,96000
"1862",26,15,1,1,1,0,1,5600
"2179",32,21,2,2,1,0,1,0
"2471",62,16,2,1,2,0,1,5100
"2597",61,20,2,2,1,0,1,45620
"3944",21,20,1,2,2,0,1,21600
"2048",88,17,1,1,1,0,1,53900
"1320",37,18,2,2,1,0,1,4900
"997",41,17,2,2,2,0,1,30000
"3615",16,14,2,2,2,1,1,8400
"2226",62,20,2,2,1,0,1,2600
"759",63,17,1,2,2,0,1,18000
"4464",16,13,2,2,1,0,1,7700
"1108",58,16,1,1,2,0,1,37500
"2492",61,22,1,2,1,0,1,39000
"4270",30,17,1,2,2,0,8,45000
"2763",60,16,1,2,1,0,1,24000
"1484",93,16,1,1,1,0,1,68000
"1960",49,22,2,2,1,0,1,50000
"3751",39,16,1,2,1,0,1,36000
"1916",48,22,2,2,1,0,1,125000
"423",19,19,2,2,1,0,1,4800
"539",37,20,2,2,1,0,1,65000
"2983",67,21,2,1,1,0,1,15600
"510",31,21,2,2,1,0,1,600
"4300",15,12,1,2,1,0,1,0
"2567",53,21,2,2,1,0,1,78000
"2891",79,20,1,2,1,0,1,37210
"2146",38,16,1,2,1,0,1,30000
"4073",65,19,2,2,1,0,1,7200
"1663",43,22,1,2,1,0,1,55000
"4271",66,16,1,2,1,0,1,15000
"685",66,19,1,2,1,0,1,53000
"4277",35,16,1,2,1,0,1,18000
"451",59,22,1,1,1,0,1,154000
"2430",37,20,2,2,1,0,1,26000
"200",71,21,2,2,1,0,1,19300
"2184",22,21,1,2,1,0,1,20000
"4123",59,16,1,1,2,0,1,6404
"3690",67,23,1,2,1,0,1,198200
"2134",50,21,1,2,1,0,1,65000
"4381",23,16,1,2,1,0,1,20000
"872",68,23,2,2,1,0,1,30100
"1316",32,20,2,2,1,0,1,5000
"3458",47,16,2,1,2,0,1,6000
"3155",62,16,1,1,1,0,1,32500
"645",55,21,2,1,1,0,1,8000
"2634",22,16,2,2,1,0,3,40000
"3528",54,16,2,1,1,0,9,0
"2871",45,22,2,2,1,0,1,40000
"535",33,16,1,2,1,0,1,73000
"1054",62,16,2,1,1,0,1,0
"2638",54,18,2,2,1,0,1,30400
"1350",56,22,1,1,1,0,3,71300
