"","Employment","Sex","Education","Disability","Health_insurance","Own_child","Race","Total_person_income"
"584","1","1","19","2","1","0","1",65000.0000000001
"585","1","2","18","2","1","0","1",17000
"586","4","1","20","2","1","0","1",78999.9999999999
"587","1","2","20","2","1","0","8",78999.9999999999
"588","2","1","16","2","1","0","1",32499.9999999999
"589","6","2","16","2","1","0","1",10300
"590","1","1","16","2","1","0","1",19000
"591","1","2","18","2","1","0","1",17900
"592","1","1","9","1","1","0","1",47300
"593","1","2","21","2","1","0","1",21020
"594","1","2","21","2","1","0","6",21000
"595","1","1","20","2","1","0","1",77999.9999999999
"596","6","1","21","1","1","0","1",22900
"597","4","2","21","2","1","0","1",30000.0000000001
"598","1","1","21","2","1","0","1",20000
"599","1","1","21","2","1","0","1",65000.0000000001
"600","1","2","20","2","1","0","1",7200
"601","6","1","19","2","1","0","2",108000
"602","6","2","20","2","1","0","3",1300
"603","1","1","19","2","1","0","3",81000.0000000001
"604","6","1","21","2","1","0","1",76599.9999999998
"605","6","2","16","2","1","0","1",21900
"606","1","2","18","2","1","0","1",8300.00000000001
"607","1","1","15","1","1","0","1",48000.0000000001
"608","1","1","16","2","1","0","1",59999.9999999999
"609","1","2","23","1","1","0","1",52999.9999999999
"610","1","1","19","1","1","0","1",6000
"611","1","1","20","2","1","0","1",120000
"612","1","1","21","2","1","0","1",39999.9999999999
"613","1","2","21","2","1","0","1",44000.0000000001
"614","1","1","19","1","1","0","1",66000
"615","1","2","19","2","1","0","1",30000.0000000001
"616","6","2","19","2","1","0","1",13020
"617","1","1","19","2","1","0","1",52999.9999999999
"618","6","2","19","2","1","0","1",8800.00000000002
"619","1","1","22","2","1","0","1",25500
"620","3","2","21","2","1","0","1",9000
"621","6","1","19","2","1","0","1",16100
"622","6","2","21","2","1","0","1",21300
"623","1","1","21","2","1","0","1",36199.9999999999
"624","6","2","22","2","1","0","1",9700
"625","2","1","16","2","1","0","1",69999.9999999998
"626","1","2","12","2","1","0","1",50699.9999999999
"627","6","1","16","2","2","0","1",22000
