"","Mobility","Employment","Sex","Education","Disability","Health_insurance","Own_child","Race","Total_person_income"
"1075",1,1,2,21,2,1,0,1,86300
"4828",1,1,2,19,2,2,0,1,15000
"3468",1,1,2,19,2,1,0,1,8000
"4646",1,6,2,21,2,1,0,1,56100
"5125",1,2,2,21,2,1,0,1,4200
"4223",1,1,1,16,2,1,0,1,90000
"298",1,1,2,16,1,1,0,1,27500
"5112",1,6,2,18,2,1,0,1,13610
"564",1,1,1,21,2,1,0,1,234400
"4563",1,6,1,18,1,1,0,1,16100
"3990",3,1,2,15,2,2,0,1,29800
"4029",3,1,1,16,1,1,0,1,62000
"4948",1,6,2,20,2,2,0,3,29600
"3774",1,1,1,23,2,1,0,1,28000
"5298",1,6,2,11,2,1,0,1,9100
"2229",1,1,1,13,2,1,0,8,30000
"1872",1,1,2,21,2,1,0,1,25000
"2409",1,6,2,19,1,1,0,1,11800
"855",3,3,2,21,2,1,0,1,9000
"831",3,1,1,21,2,1,0,1,20000
"5710",1,1,1,19,2,1,0,1,150000
"35",1,1,2,21,2,2,0,1,19800
"3238",1,1,1,20,2,1,0,1,3220
"1312",1,1,1,19,2,1,0,1,39600
"3124",1,6,1,16,1,1,0,1,5000
"3164",1,1,1,16,2,1,0,1,33600
"4249",3,3,2,17,2,2,0,1,9000
"2814",1,1,1,16,2,2,0,1,26000
"596",1,6,1,23,2,1,0,1,111000
"5666",1,6,2,16,2,1,0,1,22300
"2655",1,6,1,19,1,1,0,1,28000
"3061",1,6,2,16,2,1,0,9,14500
"4493",1,1,2,16,2,2,0,1,16000
"5466",1,1,1,21,2,1,0,1,71000
"3549",3,1,2,22,2,1,0,1,21170
"1752",1,1,1,17,2,1,0,9,24000
"5677",1,1,2,16,2,1,0,1,18000
"3406",1,1,2,16,2,1,0,1,40000
"3960",1,6,2,19,1,1,0,1,1200
"5516",3,6,1,18,2,2,0,1,1000
"5309",3,6,2,16,2,1,0,1,71000
"4427",1,6,2,20,1,2,0,1,4800
"3263",1,1,1,15,2,1,0,1,60000
"3148",1,1,2,20,2,1,0,1,34800
"701",1,1,2,18,2,1,0,1,15000
"4035",1,6,1,22,2,1,0,1,50000
"4211",1,6,1,17,2,1,0,1,18000
"2915",1,6,1,19,1,1,0,1,24000
"371",1,6,2,19,2,1,0,1,207800
"4203",1,6,1,22,1,1,0,1,22800
"5358",1,6,2,21,1,1,0,1,4800
"1025",1,1,2,20,2,1,0,1,64200
"4305",1,6,2,14,1,1,0,1,9600
"318",1,1,2,16,2,1,0,1,30000
"395",3,6,2,16,2,1,0,1,11100
"424",1,1,1,20,2,1,0,3,41250
"5233",1,6,1,13,2,1,1,1,500
"5303",1,1,1,16,2,1,0,1,40000
"938",1,1,2,21,2,1,0,1,78000
"2346",1,1,1,18,2,1,0,1,75000
"5181",1,1,2,20,2,1,0,1,11000
"3543",1,1,1,21,2,1,0,1,65000
"5454",3,1,1,19,2,2,0,1,3500
"5656",3,6,2,16,1,1,0,1,12700
"5105",1,1,2,22,2,1,0,1,140600
"2961",1,6,1,16,1,1,0,1,8800
"3442",3,1,2,22,2,1,0,1,207000
"5179",3,1,1,18,1,1,0,5,71000
"293",1,1,2,19,2,1,0,1,98060
"3770",3,1,1,19,2,1,0,1,4000
"4553",1,1,1,16,2,1,0,1,109000
"2591",1,1,1,16,2,1,0,1,71000
"14",1,1,1,16,2,1,0,1,125000
"2123",1,1,2,21,2,1,0,1,57300
"3609",3,1,1,20,2,1,0,1,56000
"4838",1,1,2,19,2,1,0,1,25000
"2729",1,1,1,16,2,1,0,1,27400
"4100",1,1,2,21,2,1,0,1,65000
"1010",1,1,1,19,2,1,0,1,57000
"326",1,1,1,21,2,1,0,1,125000
"770",1,3,1,16,2,2,0,8,41100
"1792",1,6,1,16,2,1,0,1,22800
"4119",1,1,1,17,2,1,0,1,75000
"5098",1,1,2,22,2,2,0,1,1300
"711",1,1,1,21,2,1,0,1,94900
"3810",1,1,1,21,2,1,0,1,14000
"4002",1,6,1,16,1,1,0,1,32500
"833",1,1,2,20,2,1,0,1,7200
"118",1,6,2,20,2,1,0,1,205000
"1629",1,1,1,16,2,1,0,1,91000
"3747",1,6,2,19,1,1,0,1,10200
"3483",1,6,1,17,1,1,0,1,19400
"5654",1,6,2,16,1,1,0,1,13100
"3724",1,1,2,21,2,1,0,1,40000
"5614",1,1,2,16,2,1,0,1,24000
"1352",1,1,2,16,2,1,0,1,18000
"49",1,6,2,16,2,1,0,1,13200
"4860",1,1,2,16,2,1,0,6,14300
"2551",1,1,2,19,2,1,0,1,27000
"5570",1,6,2,16,2,1,0,1,1100
"5041",1,1,2,22,2,1,0,1,15000
